,Group,Epoch,mAP
0,UNet,10,0.8192899700590633
1,UNet,20,0.8908443979791245
2,UNet,30,0.9013873789610782
3,UNet,40,0.9077063166448234
4,AttentionUNet,10,0.6157793035695831
5,AttentionUNet,20,0.7974045741325396
6,AttentionUNet,30,0.8618858243239704
7,AttentionUNet,40,0.6647685044891365
8,AttentionR2UNet,10,0.8649862283523357
9,AttentionR2UNet,20,0.8549367952070399
10,AttentionR2UNet,30,0.9018718840165347
11,AttentionR2UNet,40,0.9028129625782939
12,AttentionR2UNet,50,0.9029927530081869
13,AttentionR2UNet,60,0.8962355455837547
14,PretrainedAttentionR2UNet,10,0.8754452359144227
15,PretrainedAttentionR2UNet,20,0.8982390547299814
16,PretrainedAttentionR2UNet,30,0.9241989237892274
17,PretrainedAttentionR2UNet,40,0.920381281746681
